Dataset,Model,Group,Run_Index,Seed,ACC,APR_Weighted,RE_Weighted,F1_Macro,F1_Weighted,Val_Macro_F1
ShipsEar,HTAN,20260314_195534,G0_P0_TE0_TA0_Clean,0,42,0.7082,0.7031,0.7082,0.7255,0.7030,0.5164
ShipsEar,HTAN,20260314_195534,G0_P0_TE0_TA0_Clean,1,43,0.6334,0.6830,0.6334,0.6784,0.6466,0.4807
ShipsEar,HTAN,20260314_195534,G0_P0_TE0_TA0_Clean,2,44,0.6608,0.6938,0.6608,0.7020,0.6717,0.5158
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,0,42,0.6534,0.6654,0.6534,0.6894,0.6564,0.5274
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,1,43,0.5661,0.5566,0.5661,0.5401,0.5529,0.4472
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,2,44,0.5810,0.6063,0.5810,0.6252,0.5912,0.4931
ShipsEar,HTAN,20260314_195534,G0_P0_TE1_TA1_Clean,0,42,0.6584,0.6585,0.6584,0.6460,0.6508,0.5227
ShipsEar,HTAN,20260314_195534,G0_P0_TE1_TA1_Clean,1,43,0.6185,0.6856,0.6185,0.6722,0.6324,0.4321
ShipsEar,HTAN,20260314_195534,G0_P0_TE1_TA1_Clean,2,44,0.6833,0.7274,0.6833,0.7235,0.6943,0.4683
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA0_Clean,0,42,0.6958,0.7156,0.6958,0.7132,0.6985,0.5727
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA0_Clean,1,43,0.6509,0.6603,0.6509,0.6853,0.6526,0.5011
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA0_Clean,2,44,0.6584,0.6709,0.6584,0.6555,0.6620,0.4897
ShipsEar,HTAN,20260314_195534,G0_P0_TE0_TA0_SNR10.0,0,42,0.3017,0.1760,0.3017,0.2424,0.2028,0.0000
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_SNR10.0,0,42,0.5012,0.5192,0.5012,0.4336,0.4352,0.0000
ShipsEar,HTAN,20260314_195534,G0_P0_TE0_TA0_SNR0.0,0,42,0.2793,0.1125,0.2793,0.1511,0.1547,0.0000
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_SNR0.0,0,42,0.3541,0.2426,0.3541,0.2348,0.2416,0.0000
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,0,42,0.6958,0.7201,0.6958,0.7289,0.7022,0.5584
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,1,43,0.6334,0.6383,0.6334,0.6658,0.6173,0.4855
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,2,44,0.5711,0.5794,0.5711,0.5824,0.5721,0.5386
ShipsEar,HTAN,20260314_202626_Conservative,G0_P0_TE0_TA0_Clean,0,42,0.4888,0.5105,0.4888,0.4519,0.4884,0.4067
ShipsEar,HTAN,20260314_202626_Conservative,G0_P0_TE0_TA0_Clean,1,43,0.5835,0.5919,0.5835,0.5858,0.5742,0.5028
ShipsEar,HTAN,20260314_202626_Conservative,G0_P0_TE0_TA0_Clean,2,44,0.6983,0.7099,0.6983,0.7116,0.6987,0.4961
ShipsEar,HTAN,20260314_202626_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.7581,0.7794,0.7581,0.7944,0.7656,0.5357
ShipsEar,HTAN,20260314_202626_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.6060,0.5966,0.6060,0.5888,0.5638,0.4485
ShipsEar,HTAN,20260314_202626_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.6085,0.6178,0.6085,0.5794,0.6017,0.4451
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,0,42,0.7531,0.7767,0.7531,0.7770,0.7607,0.5705
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,1,43,0.6908,0.6993,0.6908,0.7121,0.6917,0.4529
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,2,44,0.6259,0.6399,0.6259,0.6487,0.6310,0.4790
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,0,42,0.5935,0.5981,0.5935,0.5956,0.5767,0.5103
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,1,43,0.6309,0.7117,0.6309,0.6084,0.6168,0.4931
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,2,44,0.5736,0.6353,0.5736,0.5911,0.5949,0.4962
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,0,42,0.6833,0.7005,0.6833,0.7088,0.6894,0.5192
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,1,43,0.6334,0.6725,0.6334,0.6581,0.6403,0.5057
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,2,44,0.6110,0.6216,0.6110,0.6378,0.5993,0.5561
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,0,42,0.6783,0.7085,0.6783,0.7000,0.6866,0.5313
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,1,43,0.4913,0.4466,0.4913,0.4518,0.4643,0.4101
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,2,44,0.6384,0.6573,0.6384,0.6221,0.6294,0.4949
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_Clean,0,42,0.7007,0.7405,0.7007,0.7368,0.7086,0.5078
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_Clean,1,43,0.6035,0.6103,0.6035,0.6408,0.6054,0.4854
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_Clean,2,44,0.7032,0.6993,0.7032,0.7236,0.6967,0.5212
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_Clean,0,42,0.6509,0.7005,0.6509,0.6859,0.6648,0.5015
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_Clean,1,43,0.7257,0.7349,0.7257,0.7528,0.7296,0.4961
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_Clean,2,44,0.7157,0.7123,0.7157,0.7055,0.7047,0.5090
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR10.0,0,42,0.3267,0.3283,0.3267,0.3094,0.2560,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR10.0,0,42,0.5461,0.5307,0.5461,0.5274,0.5239,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR0.0,0,42,0.2893,0.1961,0.2893,0.1316,0.1461,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR0.0,0,42,0.3766,0.2654,0.3766,0.2737,0.2932,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR10.0,0,42,0.3217,0.5027,0.3217,0.2772,0.2288,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR10.0,0,42,0.3791,0.4092,0.3791,0.3496,0.3040,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR0.0,0,42,0.2793,0.1130,0.2793,0.1515,0.1553,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR0.0,0,42,0.2419,0.1229,0.2419,0.1764,0.1591,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR10.0,0,42,0.4688,0.4270,0.4688,0.4717,0.4142,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR10.0,0,42,0.2793,0.2697,0.2793,0.2705,0.2182,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR0.0,0,42,0.3342,0.4443,0.3342,0.2267,0.2218,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR0.0,0,42,0.2693,0.1341,0.2693,0.2082,0.1781,0.0000
 
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_Clean,0,42,0.6733,0.6762,0.6733,0.7097,0.6703,0.4960
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_Clean,1,43,0.6534,0.6433,0.6534,0.6465,0.6373,0.5429
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_Clean,2,44,0.5860,0.6141,0.5860,0.5842,0.5918,0.4492
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR10.0,0,42,0.3267,0.3283,0.3267,0.3094,0.2560,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR10.0,0,42,0.5461,0.5307,0.5461,0.5274,0.5239,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR0.0,0,42,0.2893,0.1961,0.2893,0.1316,0.1461,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR0.0,0,42,0.3766,0.2654,0.3766,0.2737,0.2932,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR10.0,1,43,0.3217,0.5027,0.3217,0.2772,0.2288,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR10.0,1,43,0.3791,0.4092,0.3791,0.3496,0.3040,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR0.0,1,43,0.2793,0.1130,0.2793,0.1515,0.1553,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR0.0,1,43,0.2419,0.1229,0.2419,0.1764,0.1591,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR10.0,2,44,0.4688,0.4270,0.4688,0.4717,0.4142,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR10.0,2,44,0.2793,0.2697,0.2793,0.2705,0.2182,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G0_P0_TE0_TA0_SNR0.0,2,44,0.3342,0.4443,0.3342,0.2267,0.2218,0.0000
ShipsEar,HTAN,20260314_FinalRobustness,G1_P1_TE1_TA1_SNR0.0,2,44,0.2693,0.1341,0.2693,0.2082,0.1781,0.0000
ShipsEar,HTAN,20260315_133532_Conservative,G0_P0_TE0_TA0_Clean,0,42,0.7082,0.7209,0.7082,0.7342,0.7124,0.4761
ShipsEar,HTAN,20260315_133532_Conservative,G0_P0_TE0_TA0_Clean,1,43,0.6135,0.6493,0.6135,0.6453,0.6196,0.4785
ShipsEar,HTAN,20260315_133532_Conservative,G0_P0_TE0_TA0_Clean,2,44,0.6459,0.6974,0.6459,0.6677,0.6510,0.5141
ShipsEar,HTAN,20260315_133532_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.6608,0.6800,0.6608,0.6826,0.6668,0.5068
ShipsEar,HTAN,20260315_133532_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.6584,0.6713,0.6584,0.6721,0.6613,0.4574
ShipsEar,HTAN,20260315_133532_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.5661,0.6646,0.5661,0.5369,0.5610,0.5087
ShipsEar,HTAN,20260419_122039_Conservative,G0_P0_TE0_TA0_Clean,0,42,0.4763,0.5425,0.4763,0.4688,0.4415,0.4634
ShipsEar,HTAN,20260419_122039_Conservative,G0_P0_TE0_TA0_Clean,1,43,0.7157,0.7514,0.7157,0.7310,0.7189,0.4808
ShipsEar,HTAN,20260419_122039_Conservative,G0_P0_TE0_TA0_Clean,2,44,0.7032,0.7537,0.7032,0.7115,0.7051,0.4040
ShipsEar,HTAN,20260419_122039_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.6234,0.5958,0.6234,0.5780,0.5920,0.4855
ShipsEar,HTAN,20260419_122039_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.6060,0.5911,0.6060,0.6269,0.5948,0.5023
ShipsEar,HTAN,20260419_122039_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.6085,0.6030,0.6085,0.6378,0.6045,0.5400
ShipsEar,HTAN,20260419_132517_Conservative,G0_P0_TE0_TA0_Clean,0,42,0.9371,0.9393,0.9371,0.9373,0.9373,0.9348
ShipsEar,HTAN,20260419_132517_Conservative,G0_P0_TE0_TA0_Clean,1,43,0.9124,0.9168,0.9124,0.9112,0.9134,0.9174
ShipsEar,HTAN,20260419_132517_Conservative,G0_P0_TE0_TA0_Clean,2,44,0.8742,0.8941,0.8742,0.8758,0.8775,0.8977
ShipsEar,HTAN,20260419_132517_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.9438,0.9461,0.9438,0.9443,0.9443,0.9393
ShipsEar,HTAN,20260419_132517_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.9146,0.9157,0.9146,0.9122,0.9144,0.9256
ShipsEar,HTAN,20260419_132517_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.9416,0.9424,0.9416,0.9393,0.9416,0.9440
ShipsEar,HTAN,20260419_140442_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.9551,0.9558,0.9551,0.9540,0.9548,0.9663
ShipsEar,HTAN,20260419_140442_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.9685,0.9689,0.9685,0.9688,0.9685,0.9730
ShipsEar,HTAN,20260419_140442_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.9483,0.9519,0.9483,0.9515,0.9485,0.9572
ShipsEar,HTAN,20260419_141212_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.9640,0.9661,0.9640,0.9653,0.9642,0.9815
ShipsEar,HTAN,20260419_141212_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.9393,0.9451,0.9393,0.9419,0.9403,0.9642
ShipsEar,HTAN,20260419_141212_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.9483,0.9494,0.9483,0.9498,0.9484,0.9731
ShipsEar,HTAN,20260419_142303_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.9596,0.9611,0.9596,0.9607,0.9596,0.9639
ShipsEar,HTAN,20260419_142303_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.9506,0.9509,0.9506,0.9529,0.9503,0.9683
ShipsEar,HTAN,20260419_142303_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.9483,0.9517,0.9483,0.9477,0.9489,0.9761
ShipsEar,HTAN,20260419_144540_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.9303,0.9326,0.9303,0.9330,0.9302,0.9465
ShipsEar,HTAN,20260419_144540_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.9663,0.9662,0.9663,0.9648,0.9661,0.9578
ShipsEar,HTAN,20260419_144540_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.9551,0.9563,0.9551,0.9573,0.9552,0.9648
ShipsEar,HTAN,20260419_145047_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.9640,0.9663,0.9640,0.9650,0.9643,0.9765
ShipsEar,HTAN,20260419_145047_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.9730,0.9737,0.9730,0.9752,0.9731,0.9773
ShipsEar,HTAN,20260419_145047_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.9685,0.9699,0.9685,0.9683,0.9687,0.9802
ShipsEar,HTAN,20260419_150217_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.9798,0.9802,0.9798,0.9825,0.9798,0.9838
ShipsEar,HTAN,20260419_150217_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.9730,0.9735,0.9730,0.9711,0.9732,0.9700
ShipsEar,HTAN,20260419_150217_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.9506,0.9531,0.9506,0.9484,0.9512,0.9617
